name,url,artwork_local_url,blurb,type,status,artist_id,release_date,track_ids,store_spotify_link,store_youtube_link,store_apple_link,store_amazon_link,store_soundcloud_link,store_bandcamp_link
Epic Journey,epic-journey,gfd-epic-journey.jpg,,Single,Live,1,2020-09-18,1,https://open.spotify.com/album/24VsS7DN65HnVq75C6tvQo?si=uh-xdWk-S8WRQJUbgWdEdg,,,,,
Departure,departure,gfd-departure.jpg,,Single,Live,1,2020-10-16,2,https://open.spotify.com/album/59UdW8WXAW7VmTneRsJFJb?si=LnYrr93QThy6bPj_ktVcWA,,,,,
November Dawn,november-dawn,gfd-november-dawn.jpg,,EP,Live,1,2020-11-12,"3,4",https://open.spotify.com/album/00QBxYbccDlFuCgwev85RY?si=XX0uU-vFSJCTMpCMZ5i9qQ,,,,,
Night Sessions,night-sessions,gfd-night-sessions.jpg,,EP,Live,1,2021-02-26,"5,6,7,8,9,10",https://open.spotify.com/album/04eiQOEeJZiOThpRyjm60w?si=eVIyqQzRSi6OSed8Zdfgyw,,,,,
Turn It Up,turn-it-up,gfd-turn-it-up.jpg,,EP,Live,1,2021-05-07,"11,12,13,14,15",https://open.spotify.com/album/6Z44IuLx7MwkoUVDXMvtaT?si=yltzDsnFTEmvDhxKmUSH1A,,,,,
Chasing Comets,chasing-comets,gfd-chasing-comets.jpg,,EP,Live,1,2021-07-09,"16,17",https://open.spotify.com/album/67Gl4oI2TfCOfafbDMGaH2?si=Lwcobuq3RXWKhPYBVRN1bg,,,,,
Seventh Road,seventh-road,gfd-seventh-road.jpg,,Single,Live,1,2021-08-06,18,https://open.spotify.com/album/1HXHBHCp8Xwv5DIyr2PcnU?si=wx9GgWeBT4KRq4m1EyyMig,,,,,
Voyage into Space,voyage-into-space,gfd-voyage-into-space.jpg,,Album,Live,1,2021-11-12,"19,20,21,16,22,23,24,25,26,27,17,28",https://open.spotify.com/album/36bzTXhc13D9ewlDB7rnrv?si=CXNWNJoyTXWFG1J3O-BWzg,https://music.youtube.com/playlist?list=OLAK5uy_nTgeSWq6X2j49uMtM5lNqA0C2rF8eJIME&si=yTue0SdFegmSuCDz,https://music.apple.com/za/album/voyage-into-space/1592111172,https://music.amazon.co.uk/albums/B09KCJY3X1?marketplaceId=A1F83G8C2ARO7P&musicTerritory=GB&ref=dm_sh_yFZtYymIAEE7kNjhizw2IG7L6,https://soundcloud.com/gfdmusic/sets/voyage-into-space,
The Last Train,the-last-train,gfd-the-last-train.jpg,,EP,Live,1,2022-03-25,"29,30",https://open.spotify.com/album/5tDX2l5uYMb8eagGa5Mt4A?si=4-1qTobRT_KMkafP5RCG2w,,,,,
Singularity,singularity,gfd-singularity.jpg,"“Singularity” is a collection of 15 tracks, mostly quite short, and in a diverse range of styles. The title comes from the fact that all the tracks have one-word titles. The track “Departure” was originally released as a single in October 2020. All other tracks are new.

Released on May 20th, 2022, “Singularity” came just seven months after “Voyage into Space“. Most of the tracks on this album were originally written in 2018. For this release, I remixed the tracks, and replaced a few tracks with others.

Looking back, I think this album would have been a better release under my videogaming music alter ego, “Roads to Atlantis”.",Album,Live,1,2022-05-20,"31,32,33,34,35,36,37,38,2,39,40,41,42,43,44",https://open.spotify.com/album/2fZyHQZMkYy6uQgI1gvbxE?si=WUUAY51eRoyhduf_-UrCEQ,https://music.youtube.com/playlist?list=OLAK5uy_kTZy0bP5sCeXXAl-tYG_oGg83CeruHzB0&si=gpomiWbPpOl34sdi,https://music.apple.com/za/album/singularity/1616470450,https://music.amazon.co.uk/albums/B09WRN1K7K?marketplaceId=A1F83G8C2ARO7P&musicTerritory=GB&ref=dm_sh_F3uVF3PoMG5I1LHo0hlv0xdqu,https://soundcloud.com/gfdmusic/sets/singularity,
